Epoca,Custo
1,23219.34375
2,40063.4375
3,3437.53564453
4,1843.22497559
5,863.224487305
6,359.397399902
7,218.400054932
8,178.937561035
9,158.801483154
10,142.992599487
11,130.458312988
12,118.391036987
13,109.032394409
14,100.958511353
15,93.4929199219
16,87.0708770752
17,81.169631958
18,75.6541366577
19,70.6179351807
20,65.9506454468
21,61.8749160767
22,57.8190422058
23,53.8744316101
24,50.3379020691
25,47.2422409058
26,44.3651199341
27,41.6835212708
28,39.2167129517
29,36.9757003784
30,35.0607910156
31,33.0435600281
32,31.132598877
33,29.4041137695
34,27.903635025
35,26.4238529205
36,25.0411586761
37,23.7763710022
38,22.6713237762
39,21.5215396881
40,20.1117019653
41,18.9623947144
42,17.7821598053
43,16.7262458801
44,15.8425827026
45,14.8303623199
46,13.7809143066
47,13.045832634
48,12.3822660446
49,11.815653801
50,11.3293619156
51,10.821434021
52,10.375667572
53,9.9840555191
54,9.57266616821
55,9.21605110168
56,8.89059638977
57,8.54795265198
58,8.27003479004
59,7.97671413422
60,7.68992853165
61,7.46093511581
62,7.18881845474
63,6.96100616455
64,6.73844432831
65,6.50231027603
66,6.32538080215
67,6.10386228561
68,5.92480564117
69,5.73983287811
70,5.5536904335
71,5.40347957611
72,5.22004461288
73,5.08639717102
74,4.9200758934
75,4.78417682648
76,4.64323282242
77,4.50461292267
78,4.38443183899
79,4.24655818939
80,4.14459848404
81,4.00783014297
82,3.91839337349
83,3.79164171219
84,3.70355677605
85,3.58902478218
86,3.50323796272
87,3.40026426315
88,3.31784629822
89,3.22250294685
90,3.1445775032
91,3.05667662621
92,2.98386025429
93,2.90020036697
94,2.83333539963
95,2.75398898125
96,2.69345545769
97,2.61570000648
98,2.56226491928
99,2.48610377312
100,2.44010019302
101,2.36736822128
102,2.32187581062
103,2.25779294968
104,2.20982432365
105,2.1546792984
106,2.10360121727
107,2.05844402313
108,2.0037176609
109,1.96772670746
110,1.91322588921
111,1.87870061398
112,1.83183538914
113,1.79123628139
114,1.75505065918
115,1.70871675014
116,1.68304669857
117,1.63939535618
118,1.60618185997
119,1.57414579391
120,1.53443145752
121,1.51205217838
122,1.4751636982
123,1.44433629513
124,1.4194881916
125,1.38518345356
126,1.36198544502
127,1.33443331718
128,1.30329060555
129,1.28573822975
130,1.25713026524
131,1.22984433174
132,1.21353852749
133,1.18642032146
134,1.16269516945
135,1.14653873444
136,1.12175107002
137,1.10024666786
138,1.08541166782
139,1.06261885166
140,1.0419126749
141,1.02937865257
142,1.00843417645
143,0.988237380981
144,0.977324187756
145,0.95873773098
146,0.94017380476
147,0.927544772625
