x,y,"f(x,y)","f*(x,y)"
9.36,43.06,2.430100373909127,2
33.0,9.6,3.828340972541521,2
32.78,-16.78,2.9674200375922197,2
28.44,16.56,2.6642984970283154,2
-34.84,12.26,3.460072483959535,2
-25.94,21.7,2.8826103402654373,2
-12.22,5.7,1.7128545233244767,2
36.02,-35.76,1.901547995481981,2
-30.98,-45.38,2.2114121279892816,2
-2.52,-16.26,2.18076361833154,2
13.94,21.14,3.375722400798546,2
8.74,6.48,3.5341348717376633,2
31.84,-30.14,3.0978283021741713,2
-29.42,-16.54,2.322705190434578,2
39.62,25.72,0.5178422641667308,2
42.58,-10.86,3.8093747108952147,2
29.6,-14.4,3.431645582486044,2
-24.36,-7.38,1.4774220217944318,2
46.42,39.26,2.1241380225609423,2
-4.54,4.36,1.7568444129605199,2
-34.34,12.76,3.0507055691911455,2
3.46,4.56,3.5618338926896924,2
-41.32,39.82,1.502943832325161,2
-17.32,25.62,0.9808041309478683,2
-33.78,21.88,1.8997120035838353,2
-4.7,-26.76,2.0271102562335224,2
36.1,37.48,2.3907783566932133,2
-7.3,46.6,2.056026103319312,2
-46.64,-3.32,1.2603130288918405,2
-11.04,-43.28,-0.05086299366415359,2
30.12,-45.84,4.086132145061811,2
12.0,-32.8,1.8772726872348882,2
-0.8,28.08,2.5259251027493743,2
-29.92,13.44,3.9012222036631625,2
-46.44,-34.6,0.7063239917995916,2
-41.74,-29.06,2.72305068749141,2
-13.44,32.8,0.8822374078017909,2
10.44,0.34,3.7413971951738327,2
-36.04,5.86,2.359617821575233,2
-27.28,40.44,0.5268643931140182,2
-39.96,37.8,4.012447328688991,2
35.24,-45.42,0.8864212939403535,2
-40.04,-36.16,0.3448553835607264,2
42.96,8.56,1.1960135778547922,2
-35.2,-29.96,1.7317140162727334,2
42.66,6.36,3.631101490163152,2
-13.66,-38.46,0.1430077869130919,2
32.94,32.16,3.026179253309362,2
-4.48,35.9,1.0699276307570318,2
-0.1,-42.2,2.116093625894092,2
-34.2,-29.76,1.1622158044812958,2
24.8,35.36,1.107016862585911,2
-19.4,-23.14,2.153349186258446,2
17.78,43.32,0.2724605100674278,2
2.34,8.58,2.154331981234436,2
7.66,-41.8,2.353808394545286,2
29.2,8.2,1.8663099261402827,2
-11.96,40.68,1.6823064002654728,2
-23.96,-8.98,1.4444932843612233,2
-9.08,14.78,0.6282646880731573,2
43.34,46.24,2.3115557594204144,2
3.12,-35.34,3.209505385018084,2
4.88,19.6,2.115320095408773,2
-32.22,-44.8,0.7123189842912783,2
42.9,-6.84,1.2771048869314146,2
-7.64,41.1,1.1917392298548535,2
46.08,4.12,1.6017941577311725,2
3.04,-42.78,1.759656899490278,2
26.38,-7.04,1.4571274907572298,2
-31.42,32.32,2.009393097086336,2
-48.96,-13.2,0.6995180000130192,2
17.28,-46.02,2.1688271744895586,2
8.38,-24.7,-0.06336131551699653,2
-11.64,44.68,1.567090602058694,2
-4.6,-30.66,1.7296015525951045,2
-40.02,-15.02,0.15100620370299422,2
-28.88,-27.84,2.2867788915913314,2
12.22,-17.42,2.178561738279035,2
18.8,-8.2,2.3310127817663666,2
-6.36,46.04,2.7014200100392016,2
5.04,-26.74,2.149296141620896,2
35.52,7.9,2.7433780379896815,2
32.52,-10.18,3.498182716307023,2
-12.92,-46.38,2.9940876493193818,2
-29.08,-14.92,1.9710752173040447,2
13.38,19.22,4.0657890400111985,2
13.36,-13.08,0.2992362992847395,2
-38.76,-18.0,2.2287209577456797,2
49.64,-24.36,-0.08131966494326193,2
-3.58,-44.28,0.07252535098909907,2
4.96,-5.82,1.6955642152224868,2
-12.04,-18.72,2.037747983525437,2
19.9,1.38,1.1875948461016597,2
-9.58,-18.6,1.7650562771127667,2
-42.46,22.88,2.797808563415227,2
-1.28,-14.7,3.879754897288506,2
-28.32,-44.96,0.8521484346262433,2
40.72,-28.38,2.0885557258333804,2
31.56,21.44,1.636106423114164,2
45.02,43.62,0.11739553032474892,2
-16.46,46.82,3.158196914775879,2
21.7,-44.84,1.8751798224084182,2
-10.14,-19.62,1.0264711809094016,2
22.76,20.42,3.1880892084376207,2
6.78,-20.38,1.7220726527234578,2
-21.2,-22.14,0.6522620418683924,2
-3.44,18.14,2.5479895166524043,2
-26.68,42.08,2.177725199074183,2
-24.48,-9.86,1.3967335575925448,2
49.86,32.2,1.6748082152214534,2
-39.34,-16.86,1.5317288063877217,2
31.44,35.86,2.059717647804515,2
-35.56,23.12,3.521835718797263,2
17.4,5.22,2.7769869705647423,2
44.98,10.52,3.6510319083645206,2
-26.22,16.0,2.916851847763123,2
-12.7,-40.38,0.5008376023445713,2
-0.54,-41.56,2.5919799293027586,2
48.5,-19.86,1.5506702863147295,2
-38.1,0.24,2.9921147308691194,2
3.52,42.88,3.523105912790982,2
-18.88,28.04,2.1133548585279986,2
-10.62,23.14,3.6640267495842203,2
35.32,-35.38,1.1959120440718904,2
32.72,-37.74,3.365924893981095,2
12.18,-18.3,1.7455317674526163,2
41.76,-43.8,1.3504728518314952,2
-48.68,1.0,1.146347643812688,2
29.08,-20.5,1.7830147541869281,2
2.8,30.5,1.0955118950011113,2
-18.44,-5.24,1.1033548181449824,2
-23.38,-28.06,1.8235638256283584,2
-49.36,19.4,1.890486343413581,2
29.66,-47.58,1.6181921573249658,2
46.98,15.3,3.3517648782778586,2
-40.9,2.72,2.023437033735725,2
36.54,2.96,1.4242056607379148,2
-8.76,19.74,1.5311369162665769,2
-22.98,42.0,4.096356686879331,2
-4.0,-11.8,3.5323297506010025,2
-5.1,-12.3,2.2853886215683143,2
6.56,17.14,2.1690386365369236,2
21.68,-35.62,2.1773516463529456,2
23.1,34.58,3.89477229857388,2
5.6,-41.6,0.6824409330477821,2
-30.38,7.88,1.4835691247293727,2
33.3,-16.18,2.1157091510863926,2
32.8,-23.82,3.176195234565581,2
13.66,13.66,1.3604890146819444,2
-34.38,-6.44,3.3180902827053234,2
-18.74,37.16,0.5849547164719782,2
-46.6,13.08,3.3266155823535843,2
-40.66,-5.92,2.1131930824861387,2
21.48,6.18,2.462691538313405,2
27.66,-41.62,3.784584872706143,2
-14.56,-29.92,1.9178159025307024,2
46.58,-13.56,2.940215026315869,2
39.4,-16.98,3.7050418188384198,2
41.24,34.38,1.694279260139167,2
-10.08,-23.34,1.1150207424195522,2
-30.48,-40.22,1.7761767043391963,2
-44.7,-27.14,0.9796040013514473,2
22.58,-49.7,0.16005827942366802,2
35.38,17.28,0.18678458025213285,2
-45.18,-30.4,0.5207380749703325,2
-48.32,-24.02,2.03246243117117,2
-27.74,31.24,2.319931982410625,2
-0.68,20.16,0.4758669098962671,2
-5.16,22.62,1.833380132841932,2
-0.44,-21.12,3.0601967081410395,2
48.74,7.5,2.341511244494261,2
23.08,32.74,3.902071944642108,2
28.48,-2.3,0.880301886711774,2
-6.18,15.36,3.992066400591601,2
-24.86,16.72,3.451335870214354,2
-27.58,16.7,0.06712798600651992,2
4.62,7.12,2.453641001987649,2
42.1,-27.98,0.7114302425050112,2
12.12,-28.7,2.00880783171583,2
38.1,49.3,3.108519904941811,2
0.76,16.04,0.25771105028713803,2
-6.86,-22.64,1.6127544578225708,2
-30.68,-9.1,2.5972062377500285,2
47.84,-12.0,1.7389577081278804,2
32.6,40.96,3.583725552583311,2
-21.84,23.86,1.9460430408477372,2
-41.28,22.22,2.2945297213619833,2
8.78,13.72,0.45234357859535246,2
-47.48,37.32,1.5177842052229258,2
9.9,-37.6,2.3835356903764633,2
14.44,-20.22,1.841792966091116,2
-9.66,-29.3,2.0054581426943683,2
31.16,39.76,1.316946590577189,2
8.28,22.58,2.40262688859723,2
44.46,41.4,3.7901136594637808,2
-36.02,43.26,1.3922181194033565,2
44.02,34.34,3.221443858743025,2
0.36,9.78,2.0240819967579378,2
-19.36,39.6,2.00689734032392,2
-43.56,48.06,2.1612122707024763,2
-14.92,33.44,2.60208207245226,2
34.56,26.06,3.0330168110996354,2
27.7,-25.44,1.1030810719764015,2
48.44,45.98,2.0624544497553177,2
-19.96,1.52,0.9482108113560934,2
-31.96,49.88,1.588491494619204,2
-15.7,-2.7,2.5063611829171504,2
-46.58,-17.32,0.4098794075123324,2
-36.5,26.62,2.6676076839029474,2
18.28,-33.24,3.156800337384851,2
34.22,-17.98,1.024423549336774,2
28.42,-30.3,1.9146038280349111,2
32.62,-5.78,4.090432950438543,2
-33.26,40.2,2.43382807898979,2
25.0,9.24,3.5783186081220766,2
9.02,-38.58,2.7194524347979923,2
-10.72,25.58,3.646230898150018,2
10.98,-39.3,2.6046476299799606,2
1.6,-38.74,3.6257729989810543,2
-45.68,45.66,2.1313359547603277,2
35.64,10.38,1.4487559142979336,2
-27.42,8.02,3.857503344386979,2
37.24,14.44,0.003173799798527943,2
-35.78,31.1,0.798413573622961,2
-27.92,-49.6,3.340103104985874,2
-17.3,-1.6,3.0042834566240844,2
-15.34,26.76,1.8603346518268247,2
-45.16,10.6,0.29076325710542283,2
-17.18,25.52,1.7649797011388928,2
-11.34,45.52,3.727364673555705,2
41.28,-9.58,2.4987047444586583,2
-37.6,-28.8,0.19194433530556876,2
-29.16,-1.86,2.3540352483593265,2
39.86,-3.1,0.9297478753470989,2
-44.12,-43.08,2.5347483977224994,2
39.96,-48.92,2.6626495047360774,2
-48.78,-16.36,0.8519567104033914,2
-5.58,18.64,3.553349595328757,2
-46.66,-22.88,2.6733275631619273,2
-8.26,-5.74,0.057987684080048396,2
0.18,21.02,1.8929392050076859,2
-47.1,-8.56,3.2464145742074972,2
-19.84,35.2,3.0504857873286566,2
-19.08,-33.12,2.3708959186885394,2
39.74,22.98,0.8663662818859654,2
41.58,17.44,2.3798525203038783,2
-17.9,-15.1,3.9057653642389534,2
-21.98,-34.26,2.570402082664512,2
-47.32,44.84,0.1212225080523821,2
34.2,40.06,2.959504515749221,2
34.58,-33.92,0.5616449836101634,2
-0.82,-36.68,2.4518231965652726,2
49.34,-49.76,3.5504272960925842,2
-38.72,-32.22,1.9961624900539836,2
-13.02,-22.76,3.9706626321249336,2
-26.38,12.92,2.317163660181596,2
46.22,-39.42,1.1945054100475216,2
3.02,-40.8,1.0295940555783187,2
-19.56,-39.46,1.414811331151102,2
46.24,0.76,2.3394862660564506,2
2.86,-22.18,1.0515848968297643,2
-17.74,38.24,3.1420385972938583,2
-38.62,31.6,2.028840146130615,2
-10.66,-33.48,2.3860698861253433,2
14.38,13.0,1.9464005747204418,2
49.96,49.58,2.8732288450298293,2
-4.5,-48.4,2.8798921622350737,2
-6.08,21.16,4.0968244277498265,2
-47.78,-4.1,3.0906312597352725,2
-3.92,44.16,0.6043857500631842,2
-35.04,-23.42,-0.06616959349955875,2
-48.34,-36.7,2.001115162000547,2
-15.3,25.84,1.4064959704857412,2
-33.58,12.48,2.661063935526223,2
-18.36,-21.24,0.6148287347556092,2
41.3,-22.16,1.4595991414478275,2
-1.76,31.56,2.2503904728083657,2
7.12,0.2,2.133852892408461,2
-14.78,-29.44,2.6515919657048386,2
-31.6,-11.48,1.5873349364970224,2
-32.2,-27.16,3.1569543167474636,2
16.02,-30.02,1.148407616305267,2
27.76,-24.18,1.5293104706382434,2
24.3,27.7,1.8967754234637184,2
-42.6,40.36,0.1612147173319045,2
46.26,-10.78,2.3545810306489923,2
29.36,44.62,2.7860969217645595,2
26.86,49.08,1.296957130505439,2
-39.78,15.76,0.18088057654870582,2
-4.28,-44.46,2.77818703249918,2
-2.46,19.82,1.8986210624307014,2
-45.26,-35.06,1.3606119785964597,2
0.7,-21.82,0.37767518116303767,2
11.02,17.8,1.8318569464743988,2
-23.76,24.68,3.057071448951299,2
43.62,5.08,1.7083720400546891,2
14.12,-36.02,2.4176112700768364,2
-23.6,25.86,2.712384379703457,2
26.16,-4.64,1.9111555636326534,2
3.84,26.18,3.010269561736643,2
2.38,-32.68,1.9016796851482984,2
35.6,-46.0,2.0291002175782165,2
7.18,-12.52,2.1875011529542925,2
-26.96,-23.32,2.6889987035992506,2
-3.52,1.96,0.05173034926924358,2
38.18,26.14,2.1634122167492364,2
3.64,4.24,0.40952063918009185,2
49.04,9.68,0.6363897146572597,2
-0.6,-18.26,0.5342314503861445,2
48.02,9.62,2.8287555061357392,2
-7.82,2.9,3.4028823307839335,2
-27.36,42.66,3.7295011566246585,2
32.36,-10.56,0.056258813866231216,2
10.88,-29.7,2.9373079128998008,2
27.52,-4.9,0.7688041513078288,2
48.28,41.48,1.9535592874440357,2
7.82,-0.04,3.310346571480048,2
45.34,-18.62,0.6205955501011409,2
30.34,38.98,1.3876009534946454,2
31.34,31.52,1.8916789462178076,2
16.7,-44.82,1.5148607897972206,2
37.6,-28.4,1.4116607224202211,2
18.1,-16.22,1.3685630100666626,2
-38.7,15.96,2.0731579591533356,2
-40.54,-10.32,3.119390932448584,2
-31.24,-0.06,2.3961427311526435,2
-28.16,36.68,1.5420506586402472,2
32.06,-2.64,3.1527563482182277,2
12.86,46.54,0.4942588925170788,2
-15.14,-5.04,2.99734978395134,2
-0.9,-22.48,3.786528262978983,2
-49.6,15.66,0.1333428313257401,2
-22.02,-34.34,2.671342766912904,2
12.6,27.98,1.1724688137315737,2
-22.24,-48.68,0.8787151231039898,2
-5.76,-6.92,2.5263613445347683,2
43.06,10.56,0.8848573825226813,2
3.34,-25.12,2.832085389512431,2
-1.12,41.7,4.019789857399591,2
-20.86,6.72,0.09104255114112814,2
-6.16,36.24,-0.051206070849465046,2
-4.18,-16.88,2.742506024005154,2
49.66,44.98,0.8461122712374791,2
41.4,17.5,1.7645217932366248,2
-48.42,48.0,2.159845498874632,2
19.4,28.16,1.8387092641297054,2
-7.9,-42.9,0.6634549571301283,2
34.66,-32.34,3.7235546868119567,2
-3.2,-2.26,3.765728680016222,2
18.88,19.5,0.9980702643061912,2
-3.84,35.72,2.463265711846331,2
-25.34,47.26,1.507609630106867,2
-26.64,-47.94,1.9775912376454179,2
26.6,-47.38,2.038095836171848,2
1.5,27.18,3.527423544308771,2
28.06,-44.06,1.6448696044592086,2
-5.5,30.14,3.597664714176037,2
-11.58,18.98,0.983023108316271,2
-26.56,-34.48,2.011266559511781,2
33.72,-26.8,2.0954297401922313,2
20.82,29.12,3.714705735122359,2
-0.62,19.24,3.5127863868660256,2
-24.24,-19.6,1.817988278813016,2
-44.8,-24.56,1.2730854741839681,2
-42.78,42.06,3.355578140719319,2
12.54,22.9,1.7620237537103975,2
-26.94,42.96,1.0598493046590414,2
-5.0,27.36,1.7921232236571591,2
-25.66,-43.14,1.558082761123226,2
23.62,26.82,2.6717814195052894,2
-35.5,42.8,2.064910174121762,2
-17.82,36.92,3.6689199206943135,2
35.66,-24.96,0.6806455397623259,2
32.14,-22.06,0.5818890575110067,2
-10.38,-33.68,0.35200629760519275,2
22.7,19.14,3.1958220309250187,2
-14.5,25.8,2.0000542526518674,2
14.92,-33.54,2.4205014055892398,2
11.72,-8.06,2.860441389673309,2
43.18,35.88,2.822928341172395,2
-37.28,-9.04,0.3449733388736309,2
-28.4,-40.72,3.471551087182706,2
-25.88,36.42,2.5626121394055326,2
-16.72,-10.98,2.3731067275519453,2
-41.06,11.64,2.034275774466198,2
-31.36,-39.48,1.865268658192993,2
23.0,5.28,2.1932193106074243,2
45.38,47.58,1.6765708516626234,2
