x,y,"f(x,y)","f*(x,y)"
36.95,27.5,3.2934520959330724,2
30.04,7.88,2.517148843819818,2
26.29,9.22,2.570577966429704,2
-32.64,-5.23,0.8453925116081185,2
-12.97,20.95,2.859534060304752,2
-38.28,-35.84,1.1821270461934206,2
-24.55,42.64,0.9957254296038995,2
-30.41,-19.34,3.032700698922927,2
-5.61,34.12,2.359563920973316,2
-41.61,-31.85,2.588677490478309,2
-37.68,40.79,3.4592647880043135,2
-9.72,46.12,2.1337992532633057,2
-11.03,-9.34,0.12634511393558978,2
31.87,-20.52,3.1681954081846007,2
3.16,34.49,2.4788494685698934,2
-29.09,-0.72,2.17683360432908,2
-33.54,-36.03,1.743592593533373,2
-17.3,0.53,1.5346263924139925,2
5.87,-48.55,2.328887026642241,2
6.16,-37.0,2.521339169009872,2
-30.29,17.39,3.490232351780209,2
-36.33,-48.72,1.7801557153110976,2
27.0,-12.06,2.400396817795691,2
-15.54,-15.75,0.12138197953324803,2
-1.98,19.85,3.0942207835280104,2
-40.87,-35.01,1.549340617473636,2
-9.2,44.65,2.754540891064288,2
-12.71,-16.3,3.3547078725910158,2
44.66,9.91,4.019327967166605,2
22.98,-31.13,0.020699226767584733,2
49.64,29.65,1.9431134187899761,2
-36.97,-44.9,0.34045558115963437,2
-14.28,3.23,1.4251343176035731,2
-48.6,14.64,2.361890632853937,2
14.06,43.54,2.959675715489883,2
-25.88,15.5,2.74882761286951,2
17.0,-34.16,1.9572767774992665,2
-35.31,-5.87,3.103233082227251,2
28.33,35.68,1.062625512135416,2
28.22,-19.41,1.730832204176836,2
39.15,14.67,1.0930466712739206,2
4.53,22.21,1.4911824513882728,2
44.27,17.72,3.143326518878059,2
24.47,13.53,1.3551619377533726,2
14.71,49.75,2.4670431353468785,2
7.04,-0.46,2.1148309147887585,2
-40.64,-13.2,1.0290763110443466,2
-26.24,44.44,1.6464164798700018,2
-21.6,21.24,2.280530967978994,2
7.4,9.48,2.0916868567990163,2
12.26,8.92,2.4085639420949048,2
3.08,-19.16,3.1909688829039724,2
-49.96,11.86,0.2047216978112969,2
-5.86,6.98,3.547039801267931,2
-45.45,26.96,3.1363486447983324,2
-26.1,-7.66,3.1663719215107524,2
-35.03,-29.18,-0.09323109394338092,2
-16.31,42.81,2.2009671047878934,2
-12.45,36.37,2.1390983006170776,2
48.08,12.51,1.3257226549129606,2
19.22,-23.23,2.034155433929746,2
31.28,6.23,2.0758902802753614,2
-10.31,-46.07,2.965013756191261,2
0.42,20.44,1.2020607322360384,2
49.19,27.51,0.4215764043752177,2
-6.63,3.12,3.0112064439214192,2
47.12,-2.49,3.563807784973254,2
-34.51,-40.8,0.9406033309273019,2
32.91,21.84,3.7994517550626368,2
