Altura Maxima,#Amostras,#Execucao,MSE (Melhor),Altura (Melhor),Tempo Execucao
10,150,1,0.00911133647782,9,26.81571388244629
10,150,2,0.0117670411624,10,30.43101930618286
10,150,3,0.0367452268789,8,33.061745166778564
10,150,4,0.0178486041054,9,28.47130537033081
10,150,5,0.0161834495045,4,31.569890022277832
10,150,6,0.0387725523129,10,31.582743167877197
10,150,7,0.071595450925,10,38.414052963256836
10,150,8,0.0524194736601,9,29.407089948654175
10,150,9,0.00515563824183,10,31.137973070144653
10,150,10,0.0459282545723,9,29.304014682769775
